"link","alpha","name","name1","name3","url","name_full","show"
"category","Z","主要","人口","総人口","A1101","総人口","T"
"category","Z","主要","人口","総面積１km2当たり人口密度","A01201","総面積１km2当たり人口密度","T"
"category","Z","主要","人口","全国総人口に占める人口割合","A01101","全国総人口に占める人口割合","T"
"category","Z","主要","人口","15歳未満人口割合","A1304","15歳未満人口割合","T"
"category","Z","主要","人口","15～64歳人口割合","A1305","15～64歳人口割合","T"
"category","Z","主要","人口","65歳以上人口割合","A1306","65歳以上人口割合","T"
"category","Z","主要","人口","婚姻率（人口千人当たり）","A06601","婚姻率（人口千人当たり）","T"
"category","Z","主要","人口","離婚率（人口千人当たり）","A06602","離婚率（人口千人当たり）","T"
"category","Z","主要","人口","未婚者割合（15歳以上人口）","A161001","未婚者割合（15歳以上人口）","T"
"category","Z","主要","人口","外国人人口（人口10万人当たり）","A01601","外国人人口（人口10万人当たり）","T"
"category","Z","主要","人口","合計特殊出生率","A4103","合計特殊出生率","T"
"category","Z","主要","人口","粗死亡率（人口千人当たり）","A05204","粗死亡率（人口千人当たり）","T"
"category","Z","主要","人口","人口増減率","A05101","人口増減率","T"
"category","Z","主要","人口","自然増減率","A05201","自然増減率","T"
"category","Z","主要","人口","社会増減率","A5301","社会増減率","T"
"category","Z","主要","人口","核家族世帯割合","A06202","核家族世帯割合","T"
"category","Z","主要","人口","単独世帯割合","A06205","単独世帯割合","T"
"category","Z","主要","人口","65歳以上の世帯員のいる世帯割合","A06301","65歳以上の世帯員のいる世帯割合","T"
"category","Z","主要","人口","夫65歳以上、妻60歳以上の夫婦のみの世帯の割合","A06302","夫65歳以上、妻60歳以上の夫婦のみの世帯の割合","T"
"category","Z","主要","人口","65歳以上世帯員の単独世帯の割合","A06304","65歳以上世帯員の単独世帯の割合","T"
"category","Z","主要","人口","年少人口指数","A03401","年少人口指数","T"
"category","Z","主要","人口","老年人口指数","A03402","老年人口指数","T"
"category","Z","主要","面積・天候","総面積（北方地域及び竹島を含む）","B1102","総面積（北方地域及び竹島を含む）","T"
"category","Z","主要","面積・天候","森林面積割合","B01202","森林面積割合","T"
"category","Z","主要","面積・天候","年平均気温","B4101","年平均気温","T"
"category","Z","主要","面積・天候","快晴日数（年間）","B4104","快晴日数（年間）","T"
"category","Z","主要","面積・天候","降水量（年間）","B4109","降水量（年間）","T"
"category","Z","主要","経済","県内総生産額（平成23年基準）","C1111","県内総生産額（平成23年基準）","T"
"category","Z","主要","経済","1人当たり県民所得（平成23年基準）","C121101","1人当たり県民所得（平成23年基準）","T"
"category","Z","主要","経済","農業産出額","C3101","農業産出額","T"
"category","Z","主要","経済","耕地面積","C3107","耕地面積","T"
"category","Z","主要","経済","国内銀行預金残高（人口1人当たり）","C04605","国内銀行預金残高（人口1人当たり）","T"
"category","Z","主要","行政","市町村数","D110101","市町村数","T"
"category","Z","主要","行政","一般財源（都道府県財政）","D2109","一般財源（都道府県財政）","T"
"category","Z","主要","行政","国庫支出金（都道府県財政）","D310108","国庫支出金（都道府県財政）","T"
"category","Z","主要","行政","課税対象所得（納税義務者1人当たり）","D02206","課税対象所得（納税義務者1人当たり）","T"
"category","Z","主要","学校・教育","幼稚園数（3～5歳人口10万人当たり）","E0110104","幼稚園数（3～5歳人口10万人当たり）","T"
"category","Z","主要","学校・教育","保育所等数（0～5歳人口10万人当たり）","E0110105","保育所等数（0～5歳人口10万人当たり）","T"
"category","Z","主要","学校・教育","認定こども園数（0～5歳人口10万人当たり）","E0110106","認定こども園数（0～5歳人口10万人当たり）","T"
"category","Z","主要","学校・教育","都道府県別いじめ認知件数等","E9502","都道府県別いじめ認知件数等","T"
"category","Z","主要","労働・雇用","就業者比率","F01102","就業者比率","T"
"category","Z","主要","労働・雇用","完全失業率","F01301","完全失業率","T"
"category","Z","主要","労働・雇用","共働き世帯割合","F01503","共働き世帯割合","T"
"category","Z","主要","労働・雇用","第1次産業就業者比率","F01201","第1次産業就業者比率","T"
"category","Z","主要","労働・雇用","第2次産業就業者比率","F01202","第2次産業就業者比率","T"
"category","Z","主要","労働・雇用","第3次産業就業者比率","F01203","第3次産業就業者比率","T"
"category","Z","主要","労働・雇用","就職率","F03101","就職率","T"
"category","Z","主要","労働・雇用","地域別最低賃金","F6501","地域別最低賃金","T"
"category","Z","主要","観光・文化","重要文化財指定件数","G4101","重要文化財指定件数","T"
"category","Z","主要","観光・文化","衆議院議員選挙投票率（小選挙区）","G6301","衆議院議員選挙投票率（小選挙区）","T"
"category","Z","主要","観光・文化","延べ宿泊者数","G7101","延べ宿泊者数","T"
"category","Z","主要","居住","総住宅数","H1100","総住宅数","T"
"category","Z","主要","居住","空き家数","H110202","空き家数","T"
"category","Z","主要","居住","3.3m2当たり家賃（民営賃貸住宅）","H410302","3.3m2当たり家賃（民営賃貸住宅）","T"
"category","Z","主要","健康・医療","健康寿命（男）","I1601","健康寿命（男）","T"
"category","Z","主要","健康・医療","健康寿命（女）","I1602","健康寿命（女）","T"
"category","Z","主要","健康・医療","自殺率（人口10万対）","I910803","自殺率（人口10万対）","T"
"category","Z","主要","福祉・保障","生活保護被保護実世帯数（月平均一般世帯千世帯当たり）","J01101","生活保護被保護実世帯数（月平均一般世帯千世帯当たり）","T"
"category","Z","主要","福祉・保障","老人ホーム数（65歳以上人口10万人当たり）","J022011","老人ホーム数（65歳以上人口10万人当たり）","T"
"category","Z","主要","福祉・保障","一人当たりの医療費","J4004","一人当たりの医療費","T"
"category","Z","主要","治安","交通事故発生件数（人口10万人当たり）","K04101","交通事故発生件数（人口10万人当たり）","T"
